infinitive,related_infinitive,relation
abonner,s'abonner,pronominal
absenter,s'absenter,pronominal
abstenir,s'abstenir,pronominal
adapter,s'adapter,pronominal
adresser,s'adresser,pronominal
aggraver,s'aggraver,pronominal
aimer,s'aimer,pronominal
allonger,s'allonger,pronominal
amuser,s'amuser,pronominal
améliorer,s'améliorer,pronominal
apercevoir,s'apercevoir,pronominal
appeler,s'appeler,pronominal
approcher,s'approcher,pronominal
appuyer,s'appuyer,pronominal
arranger,s'arranger,pronominal
arrêter,s'arrêter,pronominal
asseoir,s'asseoir,pronominal
attendre,s'attendre,pronominal
baigner,se baigner,pronominal
baser,se baser,pronominal
battre,se battre,pronominal
blesser,se blesser,pronominal
brosser,se brosser,pronominal
brûler,se brûler,pronominal
cacher,se cacher,pronominal
calmer,se calmer,pronominal
caractériser,se caractériser,pronominal
casser,se casser,pronominal
changer,se changer,pronominal
coiffer,se coiffer,pronominal
compléter,se compléter,pronominal
comporter,se comporter,pronominal
composer,se composer,pronominal
concentrer,se concentrer,pronominal
conduire,se conduire,pronominal
connaître,se connaître,pronominal
connecter,se connecter,pronominal
constituer,se constituer,pronominal
construire,se construire,pronominal
contenter,se contenter,pronominal
contredire,se contredire,pronominal
coucher,se coucher,pronominal
couper,se couper,pronominal
créer,se créer,pronominal
demander,se demander,pronominal
différencier,se différencier,pronominal
dire,se dire,pronominal
diriger,se diriger,pronominal
disputer,se disputer,pronominal
distinguer,se distinguer,pronominal
distraire,se distraire,pronominal
diviser,se diviser,pronominal
divorcer,se divorcer,pronominal
doucher,se doucher,pronominal
débarrasser,se débarrasser,pronominal
débrouiller,se débrouiller,pronominal
décider,se décider,pronominal
déconnecter,se déconnecter,pronominal
définir,se définir,pronominal
déplacer,se déplacer,pronominal
dépêcher,se dépêcher,pronominal
dérouler,se dérouler,pronominal
déshabiller,se déshabiller,pronominal
détendre,se détendre,pronominal
détester,se détester,pronominal
développer,se développer,pronominal
dévouer,se dévouer,pronominal
effondrer,s'effondrer,pronominal
efforcer,s'efforcer,pronominal
embrasser,s'embrasser,pronominal
emparer,s'emparer,pronominal
en aller,s'en aller,pronominal
enchaîner,s'enchaîner,pronominal
endormir,s'endormir,pronominal
enfuir,s'enfuir,pronominal
engager,s'engager,pronominal
ennuyer,s'ennuyer,pronominal
enrhumer,s'enrhumer,pronominal
entendre,s'entendre,pronominal
enthousiasmer,s'enthousiasmer,pronominal
entraider,s'entraider,pronominal
envoler,s'envoler,pronominal
excuser,s'excuser,pronominal
exprimer,s'exprimer,pronominal
faire,se faire,pronominal
fatiguer,se fatiguer,pronominal
fermer,se fermer,pronominal
fiancer,se fiancer,pronominal
fier,se fier,pronominal
figurer,se figurer,pronominal
finir,se finir,pronominal
fonder,se fonder,pronominal
former,se former,pronominal
fâcher,se fâcher,pronominal
gêner,se gêner,pronominal
habiller,s'habiller,pronominal
habituer,s'habituer,pronominal
imaginer,s'imaginer,pronominal
informer,s'informer,pronominal
ingénier,s'ingénier,pronominal
inquiéter,s'inquiéter,pronominal
inscrire,s'inscrire,pronominal
installer,s'installer,pronominal
intéresser,s'intéresser,pronominal
jeter,se jeter,pronominal
jurer,se jurer,pronominal
lancer,se lancer,pronominal
lasser,se lasser,pronominal
laver,se laver,pronominal
lever,se lever,pronominal
manifester,se manifester,pronominal
maquiller,se maquiller,pronominal
marier,se marier,pronominal
mettre,se mettre,pronominal
modifier,se modifier,pronominal
moquer,se moquer,pronominal
multiplier,se multiplier,pronominal
méfier,se méfier,pronominal
nourrir,se nourrir,pronominal
noyer,se noyer,pronominal
occuper,s'occuper,pronominal
opposer,s'opposer,pronominal
ouvrir,s'ouvrir,pronominal
parfumer,se parfumer,pronominal
parler,se parler,pronominal
passer,se passer,pronominal
passionner,se passionner,pronominal
peigner,se peigner,pronominal
pencher,se pencher,pronominal
perdre,se perdre,pronominal
plaindre,se plaindre,pronominal
plaire,se plaire,pronominal
porter,se porter,pronominal
poser,se poser,pronominal
poursuivre,se poursuivre,pronominal
presser,se presser,pronominal
produire,se produire,pronominal
promener,se promener,pronominal
promettre,se promettre,pronominal
prononcer,se prononcer,pronominal
précipiter,se précipiter,pronominal
préoccuper,se préoccuper,pronominal
préparer,se préparer,pronominal
présenter,se présenter,pronominal
pâmer,se pâmer,pronominal
quitter,se quitter,pronominal
rappeler,se rappeler,pronominal
raser,se raser,pronominal
rebeller,se rebeller,pronominal
relever,se relever,pronominal
remettre,se remettre,pronominal
remplir,se remplir,pronominal
rencontrer,se rencontrer,pronominal
rendormir,se rendormir,pronominal
rendre,se rendre,pronominal
rendre compte,se rendre compte,pronominal
repentir,se repentir,pronominal
reposer,se reposer,pronominal
reproduire,se reproduire,pronominal
ressembler,se ressembler,pronominal
retourner,se retourner,pronominal
retrouver,se retrouver,pronominal
revoir,se revoir,pronominal
réaliser,se réaliser,pronominal
réconcilier,se réconcilier,pronominal
référer,se référer,pronominal
régaler,se régaler,pronominal
réjouir,se réjouir,pronominal
résumer,se résumer,pronominal
réunir,se réunir,pronominal
réveiller,se réveiller,pronominal
sauver,se sauver,pronominal
sentir,se sentir,pronominal
servir,se servir,pronominal
situer,se situer,pronominal
soucier,se soucier,pronominal
souvenir,se souvenir,pronominal
succéder,se succéder,pronominal
suicider,se suicider,pronominal
séparer,se séparer,pronominal
taire,se taire,pronominal
tenir,se tenir,pronominal
terminer,se terminer,pronominal
tourner,se tourner,pronominal
traduire,se traduire,pronominal
transformer,se transformer,pronominal
tromper,se tromper,pronominal
trouver,se trouver,pronominal
tuer,se tuer,pronominal
téléphoner,se téléphoner,pronominal
vanter,se vanter,pronominal
vider,se vider,pronominal
voir,se voir,pronominal
échapper,s'échapper,pronominal
écouler,s'écouler,pronominal
écrier,s'écrier,pronominal
écrire,s'écrire,pronominal
écrouler,s'écrouler,pronominal
éloigner,s'éloigner,pronominal
épanouir,s'épanouir,pronominal
éprendre,s'éprendre,pronominal
évader,s'évader,pronominal
évanouir,s'évanouir,pronominal
éveiller,s'éveiller,pronominal
